"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"411710 Nova Londrina";-;-;-;2
"411721 Nova Santa Bárbara";-;4;4;-
"411722 Nova Santa Rosa";-;-;-;1
"411727 Nova Tebas";-;-;-;5
"411729 Novo Itacolomi";-;-;-;4
"411730 Ortigueira";-;-;-;5
"411740 Ourizona";3;3;3;1
"411745 Ouro Verde do Oeste";-;4;4;-
"411760 Palmas";3;2;1;9
"411780 Palmital";-;3;3;-
"411790 Palotina";4;4;4;9
"411820 Paranaguá";-;-;-;9
"411840 Paranavaí";-;1;-;11
"411845 Pato Bragado";-;3;3;-
"411850 Pato Branco";-;1;1;19
"411880 Peabiru";2;-;-;2
"411900 Pérola d'Oeste";-;-;-;7
"411910 Piên";3;4;5;3
"411915 Pinhais";1;1;1;3
"411925 Pinhal de São Bento";-;-;-;2
"411920 Pinhalão";-;-;-;1
"411930 Pinhão";4;6;6;1
"411940 Piraí do Sul";-;-;-;2
"411950 Piraquara";-;1;2;120
"411960 Pitanga";-;-;-;7
"411980 Planalto";-;-;-;1
"411990 Ponta Grossa";5;9;9;13
"412000 Porecatu";-;-;-;8
"412010 Porto Amazonas";-;3;3;-
"412030 Porto Vitória";-;-;-;3
"412035 Pranchita";-;-;-;2
"412060 Prudentópolis";2;3;5;7
"412065 Quarto Centenário";-;-;-;7
"412085 Quatro Pontes";-;-;-;4
"412090 Quedas do Iguaçu";2;2;2;2
"412110 Quinta do Sol";-;1;-;-
"412120 Quitandinha";-;-;-;2
"412125 Ramilândia";-;2;1;-
"412140 Realeza";1;-;-;1
"412175 Reserva do Iguaçu";-;-;-;8
"412180 Ribeirão Claro";-;-;-;5
"412190 Ribeirão do Pinhal";-;3;2;5
"412200 Rio Azul";-;-;-;3
"412215 Rio Bonito do Iguaçu";-;-;-;1
"412220 Rio Branco do Sul";-;-;-;3
"412230 Rio Negro";-;-;-;3
"412240 Rolândia";-;-;-;11
"412260 Rondon";-;-;-;2
"412280 Salgado Filho";-;-;-;3
"412300 Salto do Lontra";-;-;-;15
"412330 Santa Cruz de Monte Castelo";-;6;6;-
"412350 Santa Helena";-;-;-;3
"412390 Santa Mariana";-;-;-;2
"412402 Santa Tereza do Oeste";-;-;-;2
"412405 Santa Terezinha de Itaipu";-;-;-;4
"412400 Santana do Itararé";-;-;-;2
"412410 Santo Antônio da Platina";6;8;8;5
"412440 Santo Antônio do Sudoeste";-;-;-;1
"412450 Santo Inácio";-;4;3;-
"412470 São Jerônimo da Serra";-;-;-;3
"412480 São João";4;4;4;-
"412500 São João do Ivaí";4;5;5;7
"412535 São Jorge do Patrocínio";-;-;-;1
"412545 São José das Palmeiras";-;-;-;1
"412550 São José dos Pinhais";-;1;1;9
"412560 São Mateus do Sul";1;3;3;-
"412570 São Miguel do Iguaçu";3;3;3;7
"412580 São Pedro do Ivaí";-;-;-;2
"412625 Sarandi";-;-;-;1
"412627 Saudade do Iguaçu";-;-;-;6
"412635 Serranópolis do Iguaçu";-;2;2;-
"412650 Sertanópolis";-;-;-;4
"412660 Siqueira Campos";-;-;-;10
"412665 Sulina";-;-;-;4
"412680 Tapejara";4;2;3;-
"412690 Tapira";-;-;-;1
"412710 Telêmaco Borba";4;9;-;13
"412720 Terra Boa";-;-;-;2
"412730 Terra Rica";-;-;-;1
"412740 Terra Roxa";-;4;4;-
"412750 Tibagi";-;-;-;2
"412770 Toledo";5;12;14;103
"412790 Tuneiras do Oeste";-;-;-;2
"412796 Turvo";-;-;-;1
"412800 Ubiratã";-;-;-;18
"412810 Umuarama";9;9;32;83
"412820 União da Vitória";3;3;3;17
"412853 Ventania";2;5;3;-
"412855 Vera Cruz do Oeste";-;-;-;3
"412860 Verê";2;-;-;-
"412865 Virmond";-;-;-;2
"412880 Xambrê";-;-;-;1
"420010 Abelardo Luz";-;-;-;1
"420020 Agrolândia";-;-;13;-
"420055 Águas Frias";-;-;-;5
"420060 Águas Mornas";-;-;-;2
"420070 Alfredo Wagner";3;8;5;3
"420110 Anitápolis";-;-;-;1
"420120 Antônio Carlos";-;1;1;-
"420127 Arabutã";-;-;-;1
"420130 Araquari";-;-;-;3
"420140 Araranguá";2;-;-;10
"420195 Balneário Arroio do Silva";-;-;-;2
"420205 Balneário Barra do Sul";-;-;-;6
"420200 Balneário Camboriú";9;1;-;57
"421280 Balneário Piçarras";-;-;-;5
"420209 Barra Bonita";-;1;1;1
"420215 Belmonte";-;-;-;2
"420220 Benedito Novo";-;-;-;3
"420230 Biguaçu";-;2;4;3
"420240 Blumenau";15;11;12;129
"420243 Bocaina do Sul";-;-;-;2
"420253 Bom Jesus";-;-;-;3
"420257 Bom Jesus do Oeste";-;-;-;1
"420270 Botuverá";-;-;-;5
"420280 Braço do Norte";-;-;-;5
"420285 Braço do Trombudo";-;-;-;2
"420290 Brusque";2;4;3;20
"420300 Caçador";-;-;-;7
"420315 Calmon";-;-;-;1
"420320 Camboriú";1;-;3;30
"420330 Campo Alegre";2;2;2;3
"420350 Campo Erê";-;-;-;2
"420360 Campos Novos";-;-;-;2
"420370 Canelinha";-;-;-;4
"420380 Canoinhas";2;2;2;1
"420390 Capinzal";1;1;1;1
"420395 Capivari de Baixo";5;3;3;-
"420410 Caxambu do Sul";-;-;-;1
"420420 Chapecó";2;-;-;47
"420425 Cocal do Sul";-;-;-;3
"420430 Concórdia";3;2;2;8
"420435 Cordilheira Alta";-;-;-;2
"420440 Coronel Freitas";-;-;-;3
"420445 Coronel Martins";-;-;-;3
"420450 Corupá";-;-;-;1
"420460 Criciúma";24;7;10;59
"420475 Cunhataí";-;-;-;2
"420480 Curitibanos";2;1;1;8
"420510 Dona Emma";-;-;-;3
"420517 Entre Rios";-;-;-;3
"420520 Erval Velho";-;3;3;-
"420530 Faxinal dos Guedes";-;-;-;2
"420535 Flor do Sertão";-;-;-;3
"420540 Florianópolis";9;12;12;144
"420543 Formosa do Sul";-;-;-;4
"420545 Forquilhinha";-;-;-;3
"420550 Fraiburgo";-;-;-;1
"420560 Galvão";-;-;-;9
"420570 Garopaba";-;-;-;4
"420580 Garuva";-;-;-;6
"420590 Gaspar";-;-;-;9
"420600 Governador Celso Ramos";-;-;-;2
"420610 Grão Pará";-;1;1;3
"420630 Guabiruba";-;-;-;2
"420640 Guaraciaba";-;-;-;1
"420660 Guarujá do Sul";-;1;1;-
"420665 Guatambú";-;-;-;3
"420670 Herval d'Oeste";-;2;2;3
"420675 Ibiam";-;-;-;1
"420690 Ibirama";-;-;-;3
"420700 Içara";-;-;-;5
"420740 Imbuia";-;-;-;1
"420750 Indaial";-;1;-;11
"420757 Iomerê";1;-;-;1
"420760 Ipira";-;-;-;1
"420768 Ipuaçu";-;-;-;4
"420775 Iraceminha";-;-;-;3
"420780 Irani";-;-;-;10
"420785 Irati";-;-;-;1
"420790 Irineópolis";-;-;-;1
"420800 Itá";-;-;-;2
"420810 Itaiópolis";-;-;-;1
"420820 Itajaí";1;27;5;33
"420830 Itapema";4;4;4;24
"420840 Itapiranga";-;-;-;3
"420850 Ituporanga";-;-;-;3
"420860 Jaborá";-;-;-;4
"420880 Jaguaruna";-;-;-;1
"420890 Jaraguá do Sul";3;2;41;19
"420895 Jardinópolis";-;-;-;3
"420900 Joaçaba";1;-;-;-
"420910 Joinville";18;14;15;84
"420917 Jupiá";-;-;-;6
"420930 Lages";4;-;-;26
"420945 Lajeado Grande";-;2;2;-
"420950 Laurentino";1;-;-;1
"420960 Lauro Muller";-;-;-;2
"420980 Leoberto Leal";-;-;-;6
"420990 Lontras";-;-;-;4
"421000 Luiz Alves";-;-;-;6
"421003 Luzerna";-;-;-;1
"421010 Mafra";-;-;-;6
"421030 Major Vieira";-;-;-;1
"421040 Maracajá";-;-;-;3
"421050 Maravilha";-;-;-;7
"421055 Marema";-;-;-;2
"421070 Matos Costa";-;-;-;2
"421080 Meleiro";-;-;-;9
"421100 Mondaí";-;-;-;2
"421105 Monte Carlo";-;-;-;4
"421125 Morro Grande";-;-;-;2
"421145 Nova Itaberaba";-;-;-;3
"421160 Nova Veneza";12;15;15;29
"421165 Novo Horizonte";-;-;-;4
"421170 Orleans";-;1;1;-
"421175 Otacílio Costa";-;-;-;3
"421185 Ouro Verde";-;-;-;1
"421187 Paial";-;1;1;3
"421190 Palhoça";-;-;-;6
"421200 Palma Sola";-;-;-;2
"421220 Papanduva";-;-;-;2
"421223 Paraíso";2;2;2;-
"421225 Passo de Torres";-;-;-;2
"421227 Passos Maia";-;-;-;3
"421230 Paulo Lopes";-;-;-;4
"421250 Penha";1;-;-;4
"421290 Pinhalzinho";-;-;-;14
"421315 Planalto Alegre";-;-;-;2
"421320 Pomerode";2;1;-;1
"421330 Ponte Alta";-;-;-;1
"421335 Ponte Alta do Norte";-;-;-;1
"421340 Ponte Serrada";-;-;-;12
"421350 Porto Belo";-;-;-;1
"421360 Porto União";-;-;-;2
"421370 Pouso Redondo";-;-;-;2
"421380 Praia Grande";-;-;-;1
"421410 Presidente Nereu";-;-;-;2
"421420 Quilombo";4;4;3;8
"421480 Rio do Sul";-;-;-;10
"421470 Rio dos Cedros";2;-;-;5
"421490 Rio Fortuna";-;-;-;3
"421500 Rio Negrinho";-;-;26;-
"421507 Riqueza";-;1;1;-
"421510 Rodeio";-;-;-;13
"421535 Saltinho";-;-;-;1
"421550 Santa Cecília";-;-;-;4
"421555 Santa Helena";-;-;-;1
"421560 Santa Rosa de Lima";-;-;-;4
"421565 Santa Rosa do Sul";-;-;-;8
"421567 Santa Terezinha";-;-;-;1
"421568 Santa Terezinha do Progresso";-;-;-;2
"421569 Santiago do Sul";-;-;-;2
"421570 Santo Amaro da Imperatriz";5;-;-;36
"421580 São Bento do Sul";-;4;4;13
"421575 São Bernardino";-;-;-;2
"421590 São Bonifácio";-;-;-;2
"421600 São Carlos";-;-;-;2
"421620 São Francisco do Sul";-;-;-;1
"421635 São João do Itaperiú";-;-;-;2
"421625 São João do Oeste";-;-;-;2
"421640 São João do Sul";-;-;-;1
"421650 São Joaquim";-;2;3;-
"421660 São José";-;28;28;55
"421680 São José do Cerrito";-;-;-;3
"421690 São Lourenço do Oeste";-;2;3;3
"421700 São Ludgero";-;-;-;2
"421710 São Martinho";1;1;1;-
"421715 São Miguel da Boa Vista";-;-;-;2
"421720 São Miguel do Oeste";-;-;-;22
"421725 São Pedro de Alcântara";1;-;-;1
"421740 Schroeder";2;-;-;8
"421750 Seara";-;-;-;3
"421755 Serra Alta";-;2;2;-
"421760 Siderópolis";-;-;-;9
"421770 Sombrio";-;-;-;4
"421775 Sul Brasil";-;-;-;2
"421780 Taió";1;-;-;-
"421790 Tangará";-;-;-;1
"421800 Tijucas";1;3;3;-
"421810 Timbé do Sul";-;-;-;5
"421820 Timbó";5;8;8;3
"421825 Timbó Grande";1;1;1;2
"421830 Três Barras";-;2;2;8
"421835 Treviso";-;-;-;1
"421840 Treze de Maio";2;2;3;-
"421870 Tubarão";1;1;-;49
"421880 Turvo";1;1;1;4
"421895 Urupema";-;2;2;-
"421910 Vargeão";-;-;-;4
"421930 Videira";-;5;5;3
"421950 Xanxerê";-;-;-;3
"421960 Xavantina";-;-;-;1
"421970 Xaxim";-;-;-;7
"430003 Aceguá";-;-;-;3
"430005 Água Santa";-;-;-;1
"430010 Agudo";-;-;-;1
"430030 Alecrim";-;3;3;-
"430040 Alegrete";3;1;1;18
"430050 Alpestre";-;-;-;1
"430055 Alto Alegre";-;-;-;1
"430057 Alto Feliz";1;2;2;-
"430060 Alvorada";-;-;-;4
"430064 Ametista do Sul";-;1;-;2
"430080 Antônio Prado";-;-;-;14
"430085 Arambaré";-;-;-;5
"430087 Araricá";-;-;-;5
"430100 Arroio do Meio";-;-;-;11
"430120 Arroio do Tigre";3;3;3;1
"430130 Arroio Grande";-;-;-;1
"430140 Arvorezinha";-;-;-;6
"430150 Augusto Pestana";-;-;-;1
"430160 Bagé";-;-;-;21
"430163 Balneário Pinhal";-;2;2;5
"430175 Barão do Triunfo";-;-;-;1
"430185 Barra do Guarita";-;-;-;4
"430190 Barra do Ribeiro";-;-;-;1
"430192 Barra do Rio Azul";-;-;-;2
"430195 Barra Funda";-;-;-;2
"430180 Barracão";-;-;-;2
"430200 Barros Cassal";4;8;6;-
"430210 Bento Gonçalves";4;23;22;11
"430215 Boa Vista das Missões";-;-;-;1
"430222 Boa Vista do Cadeado";-;3;3;-
"430235 Bom Princípio";-;-;-;4
"430240 Bom Retiro do Sul";1;3;3;-
"430245 Boqueirão do Leão";-;-;-;3
"430258 Bozano";-;-;-;5
"430265 Brochier";-;-;-;10
"430270 Butiá";-;-;-;3
"430280 Caçapava do Sul";-;-;-;4
"430290 Cacequi";-;-;-;4
"430300 Cachoeira do Sul";3;5;5;6
"430310 Cachoeirinha";-;-;-;6
"430350 Camaquã";-;1;1;6
"430355 Camargo";-;-;-;2
"430360 Cambará do Sul";-;-;-;3
"430380 Campinas do Sul";-;-;-;3
"430390 Campo Bom";-;-;-;8
"430400 Campo Novo";1;-;-;1
"430420 Candelária";-;-;-;6
"430440 Canela";-;-;-;9
"430460 Canoas";2;25;24;13
"430466 Capão do Leão";-;-;-;2
"430469 Capitão";-;-;-;3
"430471 Caraá";-;-;-;4
"430470 Carazinho";-;-;-;19
"430480 Carlos Barbosa";3;3;3;6
"430485 Carlos Gomes";-;-;-;2
"430490 Casca";-;-;-;6
"430510 Caxias do Sul";19;11;16;217
"430517 Cerro Grande do Sul";-;-;-;6
"430520 Cerro Largo";-;-;-;2
"430530 Chapada";-;4;2;-
"430535 Charqueadas";-;2;4;5
"430543 Chuí";-;-;-;2
"430544 Chuvisca";-;-;-;3
"430550 Ciríaco";-;-;-;1
"430558 Colinas";-;-;-;3
"430580 Constantina";3;-;-;-
"430583 Coqueiro Baixo";-;-;-;1
"430585 Coqueiros do Sul";-;3;3;-
"430587 Coronel Barros";-;-;-;4
"430595 Cotiporã";-;-;-;6
"430597 Coxilha";-;-;-;2
"430600 Crissiumal";2;4;5;-
"430605 Cristal";-;-;-;6
"430610 Cruz Alta";1;1;1;12
"430620 Cruzeiro do Sul";-;-;-;6
"430632 Derrubadas";-;-;-;2
"430635 Dezesseis de Novembro";-;-;-;1
"430640 Dois Irmãos";5;1;-;1
"430650 Dom Feliciano";-;3;3;1
"430655 Dom Pedro de Alcântara";-;-;-;2
"430673 Doutor Maurício Cardoso";-;-;-;4
"430675 Doutor Ricardo";-;-;-;4
"430676 Eldorado do Sul";2;3;2;14
"430680 Encantado";-;1;-;4
"430700 Erechim";-;-;-;12
"430730 Erval Seco";-;-;-;8
"430740 Esmeralda";-;-;-;2
"430745 Esperança do Sul";-;-;-;2
"430760 Estância Velha";-;-;-;10
"430770 Esteio";-;1;1;21
"430780 Estrela";1;-;-;1
"430790 Farroupilha";12;10;10;16
"430800 Faxinal do Soturno";-;-;-;2
"430805 Faxinalzinho";-;-;-;2
"430807 Fazenda Vilanova";-;-;-;4
"430810 Feliz";2;-;-;10
"430820 Flores da Cunha";-;-;-;6
"430840 Formigueiro";-;-;-;1
"430843 Forquetinha";-;-;-;2
"430845 Fortaleza dos Valos";-;-;-;1
"430850 Frederico Westphalen";-;-;-;8
"430860 Garibaldi";-;-;-;16
"430870 Gaurama";-;-;-;3
"430880 General Câmara";-;-;-;9
"430885 Gentil";-;-;-;3
"430900 Giruá";-;3;3;1
"430905 Glorinha";1;-;-;1
"430910 Gramado";1;-;-;10
"430915 Gramado Xavier";-;-;-;4
"430920 Gravataí";-;26;-;12
"430925 Guabiju";-;-;-;1
"430930 Guaíba";6;-;-;16
"430940 Guaporé";1;5;4;-
"430950 Guarani das Missões";3;4;4;-
"430955 Harmonia";-;-;-;2
"430710 Herval";1;-;-;4
"430957 Herveiras";-;-;-;2
"430965 Hulha Negra";-;-;-;3
"430975 Ibarama";-;-;-;5
"430980 Ibiaçá";-;-;-;1
"430990 Ibiraiaras";-;3;3;-
"430995 Ibirapuitã";-;-;-;3
"431000 Ibirubá";-;-;-;7
"431010 Igrejinha";-;-;-;10
"431020 Ijuí";-;8;5;8
"431030 Ilópolis";-;-;-;3
"431033 Imbé";-;-;-;1
"431036 Imigrante";-;-;-;2
"431043 Ipê";-;-;-;2
"431050 Iraí";-;-;-;6
"431060 Itaqui";-;-;-;8
"431065 Itati";-;-;-;3
"431075 Ivorá";-;-;-;2
"431080 Ivoti";-;-;-;5
"431085 Jaboticaba";-;-;-;4
"431090 Jacutinga";-;-;-;1
"431100 Jaguarão";-;-;-;12
"431110 Jaguari";-;-;-;1
"431112 Jaquirana";-;-;-;2
"431113 Jari";-;-;-;2
"431115 Jóia";-;-;-;1
"431120 Júlio de Castilhos";1;1;1;1
"431127 Lagoa dos Três Cantos";-;-;-;2
"431140 Lajeado";1;9;43;29
"431162 Lindolfo Collor";-;-;-;6
"431164 Linha Nova";-;-;-;2
"431171 Maçambará";-;-;-;2
"431170 Machadinho";-;4;4;-
"431173 Mampituba";-;-;-;3
"431177 Maquiné";-;-;-;1
"431179 Maratá";-;-;-;2
"431180 Marau";-;-;-;6
"431198 Mariana Pimentel";-;-;-;2
"431210 Mata";-;-;-;2
"431213 Mato Castelhano";-;-;-;2
"431220 Maximiliano de Almeida";-;-;-;1
"431225 Minas do Leão";-;-;-;2
"431235 Montauri";-;-;-;2
"431238 Monte Belo do Sul";-;-;-;1
"431240 Montenegro";-;30;-;6
"431242 Mormaço";-;-;-;1
"431244 Morrinhos do Sul";-;-;-;2
"431250 Mostardas";-;-;-;2
"431260 Muçum";-;-;-;3
"431261 Muitos Capões";-;-;-;1
"431262 Muliterno";-;-;-;2
"431265 Não-Me-Toque";-;-;-;13
"431267 Nicolau Vergueiro";-;-;-;1
"431270 Nonoai";1;-;-;2
"431275 Nova Alvorada";-;-;-;4
"431280 Nova Araçá";-;-;-;3
"431290 Nova Bassano";2;-;-;5
"431300 Nova Bréscia";-;-;-;7
"431306 Nova Hartz";1;-;-;9
"431308 Nova Pádua";-;-;-;1
"431310 Nova Palma";-;-;-;4
"431320 Nova Petrópolis";-;-;-;9
"431330 Nova Prata";-;-;-;8
"431333 Nova Ramada";-;-;-;4
"431335 Nova Roma do Sul";-;2;3;-
"431337 Nova Santa Rita";-;-;-;5
"431340 Novo Hamburgo";17;1;9;30
"431342 Novo Machado";-;-;-;4
"431350 Osório";3;-;-;4
"431360 Paim Filho";-;-;-;1
"431365 Palmares do Sul";-;-;-;3
"431390 Panambi";-;4;4;9
"431395 Pantano Grande";-;-;-;5
"431400 Paraí";-;-;-;1
"431402 Paraíso do Sul";-;-;-;1
"431405 Parobé";-;-;-;2
"431407 Passo do Sobrado";-;-;-;1
"431410 Passo Fundo";-;7;3;61
"431413 Paulo Bento";-;-;-;2
"431417 Pedras Altas";-;-;-;2
"431440 Pelotas";13;6;6;74
"431442 Picada Café";-;-;-;4
"431445 Pinhal";-;-;-;2
"431450 Pinheiro Machado";3;3;3;-
"431455 Pirapó";-;-;-;4
"431460 Piratini";-;-;-;2
"431475 Poço das Antas";-;-;-;1
"431478 Ponte Preta";-;-;-;2
"431480 Portão";-;-;-;8
"431490 Porto Alegre";6;26;20;130
"431500 Porto Lucena";-;-;-;1
"431510 Porto Xavier";-;-;-;3
"431513 Pouso Novo";-;-;-;2
"431514 Presidente Lucena";-;-;-;3
"431520 Putinga";-;-;-;2
"431530 Quaraí";-;-;-;4
"431532 Quevedos";1;-;-;2
"431545 Relvado";-;-;-;3
"431560 Rio Grande";-;4;4;6
"431570 Rio Pardo";2;-;-;-
"431575 Riozinho";3;2;2;-
"431590 Rodeio Bonito";1;2;2;2
"431600 Rolante";-;-;-;2
"431610 Ronda Alta";-;7;4;-
"431620 Rondinha";-;-;-;2
"431640 Rosário do Sul";-;-;-;6
"431643 Saldanha Marinho";-;-;-;3
"431645 Salto do Jacuí";-;-;-;3
"431710 Sant'Ana do Livramento";1;-;-;13
"431670 Santa Bárbara do Sul";-;-;-;4
"431675 Santa Clara do Sul";-;3;3;-
"431680 Santa Cruz do Sul";1;3;-;8
"431690 Santa Maria";5;2;3;35
"431695 Santa Maria do Herval";4;1;1;2
"431720 Santa Rosa";3;3;3;3
"431730 Santa Vitória do Palmar";-;-;-;3
"431700 Santana da Boa Vista";5;5;5;-
"431740 Santiago";-;-;-;3
"431750 Santo Ângelo";9;15;18;9
"431760 Santo Antônio da Patrulha";2;1;1;-
"431770 Santo Antônio das Missões";-;2;2;-
"431775 Santo Antônio do Planalto";-;-;-;3
"431780 Santo Augusto";-;-;-;4
"431795 Santo Expedito do Sul";-;-;-;1
"431800 São Borja";4;10;12;7
"431810 São Francisco de Assis";-;-;-;9
"431820 São Francisco de Paula";-;-;-;4
"431830 São Gabriel";-;5;4;2
"431842 São João da Urtiga";-;-;-;1
"431843 São João do Polêsine";-;-;-;2
"431844 São Jorge";-;-;-;2
"431848 São José do Hortêncio";-;-;-;4
"431849 São José do Inhacorá";2;2;2;8
"431862 São José dos Ausentes";-;-;-;3
"431870 São Leopoldo";3;3;3;94
"431880 São Lourenço do Sul";1;1;2;3
"431890 São Luiz Gonzaga";-;-;-;4
"431900 São Marcos";-;-;-;3
"431912 São Martinho da Serra";-;-;-;3
"431915 São Miguel das Missões";-;-;-;2
"431930 São Paulo das Missões";-;2;2;-
"431935 São Pedro da Serra";-;-;-;5
"431940 São Pedro do Sul";-;-;-;4
"431950 São Sebastião do Caí";-;-;-;3
"431960 São Sepé";-;-;-;2
"431970 São Valentim";-;2;2;-
"431971 São Valentim do Sul";-;-;-;1
"431975 São Vendelino";-;-;-;3
"431980 São Vicente do Sul";-;-;-;2
"431990 Sapiranga";-;-;-;6
"432000 Sapucaia do Sul";1;-;-;18
"432010 Sarandi";-;4;4;4
"432020 Seberi";4;4;4;-
"432026 Segredo";-;-;-;1
"432030 Selbach";-;-;-;2
"432032 Senador Salgado Filho";-;-;-;3
"432040 Serafina Corrêa";-;-;-;3
"432045 Sério";-;-;-;1
"432055 Sertão Santana";-;-;-;3
"432060 Severiano de Almeida";-;-;-;2
"432070 Sobradinho";-;-;-;4
"432085 Tabaí";-;-;-;1
"432100 Tapera";-;-;-;4
"432110 Tapes";-;-;-;2
"432120 Taquara";1;-;-;7
"432130 Taquari";-;-;-;8
"432132 Taquaruçu do Sul";1;1;1;-
"432143 Terra de Areia";10;8;6;-
"432145 Teutônia";-;-;-;3
"432150 Torres";1;-;-;6
"432160 Tramandaí";-;-;-;6
"432163 Três Arroios";-;-;-;2
"432166 Três Cachoeiras";-;-;-;5
"432170 Três Coroas";-;-;-;6
"432180 Três de Maio";-;-;-;18
"432183 Três Forquilhas";-;-;-;2
"432185 Três Palmeiras";4;4;4;2
"432200 Triunfo";-;-;40;22
"432210 Tucunduva";-;-;-;3
"432218 Tupanci do Sul";-;-;-;3
"432220 Tupanciretã";-;1;-;5
"432225 Tupandi";-;-;-;3
"432230 Tuparendi";-;-;1;-
"432237 Unistalda";-;-;-;2
"432240 Uruguaiana";-;1;1;-
"432250 Vacaria";-;-;-;12
"432253 Vale do Sol";-;-;-;4
"432254 Vale Real";2;2;2;-
"432255 Vanini";-;-;-;2
"432260 Venâncio Aires";2;3;3;9
"432270 Vera Cruz";1;-;-;-
"432280 Veranópolis";-;-;-;6
"432285 Vespasiano Correa";-;-;-;3
"432300 Viamão";-;-;-;17
"432345 Vila Nova do Sul";2;2;2;9
"432350 Vista Alegre";-;-;-;2
"432380 Xangri-lá";-;-;-;3
"500020 Água Clara";-;-;-;2
"500060 Amambai";-;-;-;2
"500070 Anastácio";-;-;-;4
"500085 Angélica";-;-;-;3
"500110 Aquidauana";-;-;-;3
"500124 Aral Moreira";2;-;-;5
"500150 Bandeirantes";1;1;-;2
"500190 Bataguassu";-;-;-;3
"500200 Batayporã";-;-;-;1
"500210 Bela Vista";3;1;1;-
"500220 Bonito";3;3;3;9
"500230 Brasilândia";4;-;-;5
"500240 Caarapó";-;-;-;6
"500260 Camapuã";-;-;-;3
"500270 Campo Grande";13;34;37;227
"500280 Caracol";-;-;-;2
"500290 Cassilândia";1;-;-;6
"500295 Chapadão do Sul";-;6;22;1
"500310 Corguinho";-;1;1;-
"500320 Corumbá";1;8;8;13
"500325 Costa Rica";-;-;-;5
"500330 Coxim";3;-;-;7
"500345 Deodápolis";-;3;2;8
"500348 Dois Irmãos do Buriti";3;-;1;6
"500350 Douradina";-;-;-;7
"500370 Dourados";4;7;7;91
"500375 Eldorado";2;5;5;1
"500380 Fátima do Sul";1;-;-;3
"500390 Figueirão";-;-;-;3
"500410 Guia Lopes da Laguna";-;-;-;5
"500430 Iguatemi";6;3;3;2
"500440 Inocência";-;-;-;1
"500450 Itaporã";2;2;2;-
"500460 Itaquiraí";-;3;3;2
"500470 Ivinhema";-;-;-;7
"500490 Jaraguari";-;-;-;5
"500500 Jardim";-;-;-;2
"500510 Jateí";-;-;-;1
"500515 Juti";1;-;-;1
"500520 Ladário";-;-;-;1
"500540 Maracaju";-;-;-;2
"500560 Miranda";1;-;-;-
"500568 Mundo Novo";-;-;-;4
"500570 Naviraí";-;-;-;5
"500580 Nioaque";-;4;4;-
"500600 Nova Alvorada do Sul";-;-;-;1
"500620 Nova Andradina";1;7;2;7
"500630 Paranaíba";2;4;4;8
"500640 Pedro Gomes";-;-;-;2
"500660 Ponta Porã";-;3;3;-
"500710 Ribas do Rio Pardo";-;-;-;2
"500720 Rio Brilhante";1;-;-;2
"500740 Rio Verde de Mato Grosso";-;-;-;5
"500755 Santa Rita do Pardo";-;-;-;1
"500769 São Gabriel do Oeste";-;-;-;11
"500770 Sete Quedas";1;1;1;-
"500790 Sidrolândia";3;5;5;2
"500793 Sonora";-;-;-;3
"500800 Terenos";-;-;-;6
"500830 Três Lagoas";6;6;6;34
"500840 Vicentina";-;-;-;1
"510010 Acorizal";-;-;-;4
"510020 Água Boa";-;-;3;6
"510025 Alta Floresta";-;-;-;12
"510030 Alto Araguaia";-;2;2;6
"510035 Alto Boa Vista";-;-;-;3
"510050 Alto Paraguai";-;-;-;6
"510100 Araguaiana";3;3;3;4
"510120 Araguainha";-;3;3;-
"510125 Araputanga";-;-;-;3
"510130 Arenápolis";-;5;5;10
"510140 Aripuanã";-;-;-;6
"510160 Barão de Melgaço";1;3;4;5
"510170 Barra do Bugres";-;-;-;20
"510180 Barra do Garças";-;1;1;16
"510185 Bom Jesus do Araguaia";4;3;3;1
"510190 Brasnorte";-;-;-;2
"510250 Cáceres";6;6;-;4
"510263 Campo Novo do Parecis";-;-;-;21
"510267 Campo Verde";-;-;-;13
"510268 Campos de Júlio";-;2;2;-
"510269 Canabrava do Norte";2;3;2;2
"510279 Carlinda";-;-;-;11
"510300 Chapada dos Guimarães";-;30;20;37
"510305 Cláudia";8;8;8;-
"510320 Colíder";1;-;-;2
"510325 Colniza";-;-;-;12
"510330 Comodoro";-;-;-;1
"510335 Confresa";-;-;-;9
"510336 Conquista D'Oeste";2;4;4;2
"510337 Cotriguaçu";-;-;-;1
"510340 Cuiabá";14;36;38;167
"510343 Curvelândia";-;-;-;3
"510345 Denise";-;-;-;2
"510350 Diamantino";5;-;-;18
"510360 Dom Aquino";-;-;-;4
"510370 Feliz Natal";-;-;-;6
"510385 Gaúcha do Norte";-;-;-;15
"510390 General Carneiro";-;-;-;1
"510395 Glória D'Oeste";-;-;-;2
"510450 Indiavaí";4;4;4;-
"510452 Ipiranga do Norte";-;-;-;11
"510454 Itanhangá";-;7;5;10
"510460 Itiquira";-;1;1;1
"510480 Jaciara";-;-;-;4
"510490 Jangada";1;3;3;3
"510510 Juara";-;6;5;1
"510515 Juína";-;4;4;40
"510517 Juruena";-;-;-;1
"510525 Lucas do Rio Verde";15;4;4;24
"510530 Luciara";-;-;-;8
